		Total RNA				Ribosome-footprinted RNA			
	aaaE	0	0	0	1	0	0	0	1
	aaeA	4.98607	3.96042	-0.332251	0.4027	0.823598	0.623794	-0.40087	0.61995
	aaeB	3.40428	2.71805	-0.324779	0.38685	0.588677	0.376076	-0.646453	0.35065
	aaeR	9.05045	7.91799	-0.192856	0.61125	4.9323	5.75332	0.222133	0.64845
	aaeX	22.8435	17.4479	-0.388726	0.38755	11.0761	10.2709	-0.108881	0.8769
	aas	15.4594	15.4286	-0.00287363	0.9936	12.3695	13.0596	0.07832	0.8455
	aat	8.75992	10.0877	0.203607	0.5947	9.10154	7.05185	-0.368109	0.4496
	abgA	2.08042	1.882	-0.144612	0.7962	1.78051	2.04773	0.201737	0.7458
	abgB	1.86822	1.68169	-0.151752	0.77955	0.794575	0.922773	0.215793	0.8095
	abgR	5.67123	4.8018	-0.240088	0.54125	5.63137	5.65762	0.00671031	0.9888
	abgT	1.27071	0.909721	-0.482135	0.2832	0.0977422	0.0515288	-0.923601	1
	abrB	6.66673	6.36092	-0.0677448	0.894	2.08019	1.95353	-0.0906334	0.9519
	accA	318.448	333.029	0.0645921	0.8577	505.725	611.933	0.27502	0.49885
	accB	494.581	475.132	-0.0578766	0.8637	1173.67	1061.78	-0.144549	0.71585
	accC	343.624	330.001	-0.0583576	0.87655	244.767	229.375	-0.0937005	0.8163
	accD	423.657	388.343	-0.125565	0.74245	470.845	514.728	0.128559	0.74955
	aceA	185.483	234.128	0.336009	0.42875	310.799	376.756	0.277651	0.537
	aceB	150.175	185.57	0.305325	0.46245	88.723	95.8221	0.111051	0.8043
	aceE	698.078	688.849	-0.0192019	0.9735	627.152	590.633	-0.0865529	0.85955
	aceF	784.015	783.271	-0.00137	0.99795	779.817	809.73	0.054306	0.9133
	aceK	36.7116	49.6031	0.434195	0.2635	1.01601	1.16021	0.19147	0.78015
	ackA	240.083	227.278	-0.0790728	0.8523	715.467	601.976	-0.249179	0.6042
	acnA	16.2509	21.2714	0.388394	0.2678	19.8309	44.302	1.15962	0.00485
	acnB	250.513	403.345	0.687127	0.1118	241.619	809.897	1.745	0.0002
	acpH	10.4347	11.2416	0.10746	0.77625	6.61956	8.5854	0.375151	0.4715
