name	left_end	right_end	length	strand	flanking_genes	mev	prm	phylogenetic_distribution
g0-10697	1298697	1298951	255	+	ychE-oppA	801	100	1, 2
g0-10698	1668973	1669160	188	-	ynfM-asr	501	100	1, 2
g0-10699	1994930	1995121	192	+	sdiA-yecC	216	100	1, 2
g0-10700	2276280	2276520	241	-	yejG-bcr	280	100	1, 2, 3, 4
g0-10701	3065209	3065366	158	+	ygfI-yggE	70	100	1, 2
g0-10702	3352086	3352191	106	+	yhcC-gltB	430	100	1, 2, 3, 4, 5, 6
g0-10703	3365635	3365792	158	-	yhcF-yhcG	77	100	1 (K-12 only)
g0-10704	3999214	3999357	144	+	yigE-corA	295	100	1, 2, 3, 4, 5, 6, 7
g0-10705	4056194	4056265	72	+	glnA-typA	197	100	1, 2, 3, 4, 5, 6
g0-10706	4439248	4439353	106	-	ytfL-msrA	298	100	1, 2, 3, 4, 5
