left_end	right_end	orientation	mev
11787	12162	Divergent	34
57110	57363	Divergent	191
63265	63428	Codirectional_R	69
122857	123016	Codirectional_F	3425
131261	131614	Divergent	191
146695	146967	Divergent	1
259325	259611	Divergent	9
344216	344627	Codirectional_F	69
395512	395862	Divergent	36
398558	398816	Divergent	22
440568	440772	Divergent	184
611718	612037	Divergent	495
623734	624107	Divergent	103
637797	638167	Divergent	65
702835	703166	Divergent	12
712026	712209	Divergent	120
728045	728356	Divergent	5
849321	849672	Divergent	132
882612	882895	Divergent	87
889043	889311	Divergent	78
915271	915695	Divergent	15
931274	931817	Divergent	94
1050399	1050683	Divergent	3535
1062999	1063258	Divergent	11
1194175	1194345	Divergent	440
1276842	1277179	Divergent	28
1297345	1297820	Divergent	186
1324666	1324875	Codirectional_F	111
1416254	1416694	Divergent	4
1432282	1432981	Codirectional_R	211
1445308	1445542	Divergent	27
1521090	1521330	Divergent	123
1524005	1524270	Divergent	8
1630310	1631062	Divergent	149
1638610	1639362	Codirectional_R	1975
1639579	1639878	Divergent	2530
1642329	1642674	Codirectional_R	47
1644762	1645197	Convergent	71
1647459	1647632	Codirectional_F	38
1668977	1669399	Codirectional_F	271
1671526	1671936	Divergent	289
1735570	1735867	Divergent	310
1739147	1739436	Codirectional_F	609
1800595	1801117	Divergent	108
1903284	1903711	Codirectional_F	6
1984153	1984948	Divergent	7
2051353	2051666	Divergent	23
2085139	2085352	Codirectional_R	389
2226781	2227003	Divergent	1
2244792	2245084	Codirectional_R	2779
2288203	2288521	Divergent	9
2310772	2311105	Divergent	89
2342192	2342886	Divergent	13
2463030	2463322	Divergent	76
2468485	2468836	Codirectional_F	1873
2481362	2481776	Divergent	33
2583548	2583752	Divergent	48
2759196	2759372	Convergent	114
2763176	2763534	Codirectional_R	36
2798498	2798744	Codirectional_F	1358
2997914	2998366	Divergent	29
3065196	3065361	Codirectional_R	123
3107178	3107574	Divergent	53
3119302	3119655	Codirectional_R	32
3198988	3199228	Divergent	104
3208566	3208802	Divergent	693
3219270	3219487	Divergent	7
3352073	3352653	Divergent	250
3365665	3365848	Codirectional_F	101
3372512	3372890	Divergent	1
3376674	3376891	Codirectional_R	2690
3399110	3399413	Codirectional_R	282
3401355	3401505	Divergent	96
3403054	3403457	Codirectional_F	234
3426785	3427257	Divergent	3524
3451293	3451529	Codirectional_R	3864
3474463	3474628	Codirectional_R	161
3483841	3484141	Divergent	715
3530462	3530839	Divergent	40
3572902	3573093	Divergent	74
3595584	3596006	Divergent	57
3598807	3599050	Codirectional_R	1010
3628626	3628990	Codirectional_R	440
3637744	3638133	Divergent	143
3645857	3646550	Divergent	311
3655591	3656388	Codirectional_F	196
3667212	3667614	Divergent	5
3735201	3735519	Divergent	9
3833953	3834244	Divergent	8
3851281	3851575	Divergent	55
3865446	3865750	Divergent	71
3881753	3882358	Divergent	1239
3939351	3939830	Divergent	3333
3964114	3964439	Codirectional_F	1577
3984031	3984454	Divergent	3
3988790	3989175	Divergent	703
3999080	3999448	Divergent	210
4083846	4084038	Divergent	358
4116114	4116537	Divergent	104
4124834	4125035	Divergent	2127
4152871	4153023	Divergent	138
4205556	4206169	Divergent	2521
4254490	4254659	Divergent	67
4258027	4258343	Divergent	3
4273065	4273493	Divergent	66
4285395	4285786	Divergent	20
4328262	4328524	Codirectional_F	479
4366351	4366686	Divergent	29
4380342	4380665	Divergent	90
4422815	4423140	Divergent	188
4437286	4437609	Divergent	25
4440200	4440404	Divergent	54
4498815	4499282	Divergent	13
4499613	4500125	Convergent	160
4537525	4538979	Divergent	17
4554344	4555015	Divergent	20
4558704	4558952	Divergent	3
4566543	4567020	Divergent	17
4600882	4601499	Divergent	8
