orientation	left_end	right_end
Divergent	11787	12162
Divergent	57110	57363
Codirectional_R	63265	63428
Codirectional_F	122857	123016
Divergent	131261	131614
Divergent	146695	146967
Divergent	259325	259611
Codirectional_F	344216	344627
Divergent	395512	395862
Divergent	398558	398816
Divergent	440568	440772
Divergent	611718	612037
Divergent	623734	624107
Divergent	637797	638167
Divergent	702835	703166
Divergent	712026	712209
Divergent	728045	728356
Divergent	849321	849672
Divergent	882612	882895
Divergent	889043	889311
Divergent	915271	915695
Divergent	931274	931817
Divergent	1050399	1050683
Divergent	1062999	1063258
Divergent	1194175	1194345
Divergent	1276842	1277179
Divergent	1297345	1297820
Codirectional_F	1324666	1324875
Divergent	1416254	1416694
Codirectional_R	1432282	1432981
Divergent	1445308	1445542
Divergent	1521090	1521330
Divergent	1524005	1524270
Divergent	1630310	1631062
Codirectional_R	1638610	1639362
Divergent	1639579	1639878
Codirectional_R	1642329	1642674
Convergent	1644762	1647459
Codirectional_F	1668977	1671526
Codirectional_F	1735570	1739147
Divergent	1800595	1903284
Divergent	1984153	2051353
Codirectional_F	2085139	2226781
Divergent	2244792	2288203
Codirectional_F	2310772	2342192
Divergent	2463030	2468485
Divergent	2481362	2583548
Codirectional_R	2759196	2763176
Divergent	2798498	2997914
Codirectional_R	3065196	3107178
Divergent	3119302	3198988
Divergent	3208566	3219270
Divergent	3352073	3365665
Divergent	3372512	3376674
Codirectional_F	3399110	3401355
Divergent	3403054	3426785
Divergent	3451293	3474463
Convergent	3483841	3530462
Codirectional_R	3572902	1645197
Codirectional_F	1647632	1669399
Divergent	1671936	1735867
Codirectional_R	1739436	1801117
Divergent	1903711	1984948
Codirectional_R	2051666	2085352
Divergent	2227003	2245084
Divergent	2288521	2311105
Divergent	2342886	2463322
Divergent	2468836	2481776
Codirectional_F	2583752	2759372
Divergent	2763534	2798744
Codirectional_R	2998366	3065361
Codirectional_R	3107574	3119655
Divergent	3199228	3208802
Codirectional_F	3219487	3352653
Divergent	3365848	3372890
Codirectional_R	3376891	3399413
Codirectional_R	3401505	3403457
Divergent	3427257	3451529
Divergent	3474628	3484141
Divergent	3530839	3573093
Divergent	3595584	3596006
Codirectional_R	3598807	3599050
Codirectional_R	3628626	3628990
Divergent	3637744	3638133
Divergent	3645857	3646550
Codirectional_F	3655591	3656388
Divergent	3667212	3667614
Divergent	3735201	3735519
Divergent	3833953	3834244
Divergent	3851281	3851575
Divergent	3865446	3865750
Divergent	3881753	3882358
Divergent	3939351	3939830
Codirectional_F	3964114	3964439
Divergent	3984031	3984454
Divergent	3988790	3989175
Divergent	3999080	3999448
Divergent	4083846	4084038
Divergent	4116114	4116537
Divergent	4124834	4125035
Divergent	4152871	4153023
Divergent	4205556	4206169
Divergent	4254490	4254659
Divergent	4258027	4258343
Divergent	4273065	4273493
Divergent	4285395	4285786
Codirectional_F	4328262	4328524
Divergent	4366351	4366686
Divergent	4380342	4380665
Divergent	4422815	4423140
Divergent	4437286	4437609
Divergent	4440200	4440404
Divergent	4498815	4499282
Convergent	4499613	4500125
Divergent	4537525	4538979
Divergent	4554344	4555015
Divergent	4558704	4558952
Divergent	4566543	4567020
Divergent	4600882	4601499
