left_end	right_end	length	mev	prm	name	source
230998	231122	125	20	80	yafD	1
450836	451032	197	164	100	cyoA	1
460468	460675	208	741	100	hupB	1
661867	661975	109	144	100	ybeD	1
829880	830077	198	54	93	ybiH	1
932314	932446	133	169	100	ftsK	1
938568	938651	84	376	100	serS	1
950305	950479	175	26	95	pflA	1
960253	960424	172	28	88	cmk	1
986207	986403	197	580	100	ompF	1
1005016	1005137	122	119	100	ymdB	1
1146775	1146874	100	464	100	plsX	1
1165110	1165308	199	46	78	ndh	1
1739222	1739379	157	732	100	cfa	2
1804162	1804289	128	21	35	ydiY	3
1860602	1860795	194	181	100	gapA	1
1886017	1886085	69	96	100	rnd	1
2163583	2163691	109	42	100	yegQ	1
2267591	2267950	359	355	100	spr	2
2481604	2481798	195	99	88	evgA	3
2496319	2496477	159	44	100	yfdZ	1
2496321	2496528	207	35	100	yfdZ	2
2576422	2576639	217	28	100	maeB	2
2702137	2702356	220	61	100	rnc	1
2729426	2729619	194	1925	90	rrsG	1
2744209	2744457	249	316	100	rpsP	1
2821793	2821871	79	349	100	recA	1
2870844	2871029	186	204	100	ftsB	1
2937334	2937389	56	38	100	fucR	1
2995624	2995711	88	20	100	insC	1
3048691	3048918	228	59	96	gcvT	1
3071715	3071957	243	251	100	epd	1
3079665	3079899	234	52	60	yggG	5
3086121	3086340	220	6	96	galP	4
3154542	3154761	220	4	98	dkgA	1
3184115	3184209	95	19	100	insC	1
3208607	3208803	197	3178	94	rpsU	1
3309708	3309848	141	6964	100	rpsO	1
3376675	3376886	212	1603	100	rplM	1
3399181	3399240	60	108	100	mreB	4
3440495	3440640	146	794	100	rpsM	1
3446173	3446336	164	1501	100	rplN	1
3451294	3451526	233	2352	100	rpsJ	1
3472576	3472700	125	653	100	rpsL	1
3474476	3474627	152	117	87	yheO	1
3483881	3484140	260	645	100	crp/yhfA	4
3517372	3517479	108	49	100	aroK	1
3597740	3597855	116	41	92	livJ	1
3598854	3599051	198	801	100	rpoH	1
3604407	3604474	68	26	100	zntA	1
3655593	3655904	312	313	97	gadE	3
3770015	3770304	290	5	83	mtlA	1
3809713	3809910	198	2041	100	rpmB	1
3850809	3850913	105	87	100	ilvB	1
4176314	4176470	157	577	100	rplK	1
4183298	4183373	76	27	100	rpoC	1
4213201	4213520	320	208	65	aceB	4
4225651	4225767	117	30	100	yjbB	1
4328267	4328511	245	398	100	proP	1
4363381	4363492	112	27	91	cutA	1
4465463	4465647	185	282	98	mgtA	1
4532011	4532320	310	56	100	yjhX	1
4566576	4566830	255	22	100	mdtM	1
4566653	4566793	140	24	100	mdtM	2
4610026	4610434	409	82	97	ytjA	1
