source	length	MEV	name	PRM	right_end	strand	left_end
2	132	56	IS001	98	20798	R	20666
1	159	2981	tp2	 100	123017	F	122859
2	199	15	IS009	91	303034	F	302835
1	94	18	p14	 100	402927	R	402834
2	331	8	IS011	97	451296	F	450965
2	360	76	IS014	93	480388	R	480028
2	111	60	IS018	 100	573747	F	573636
2	151	21	IS019	55	576507	F	576356
2	256	13	IS022	 100	585220	F	584964
2	209	123	IS023	 100	624038	R	623829
1	198	293	tp28	 100	710158	R	709961
2,3	126	5	IS029	75	752396	F	752270
4	240	142	c-8	77	770500	F	770261
3	145	9	NC021	97	855137	F	854993
1	353	22	k2	95	914570	F	914218
2	133	33	IS038	 100	915655	F	915522
1	68	34	tk5	78	921589	F	921522
2	186	568	IS042	97	1014910	R	1014724
2	93	19	IS055	 100	1223288	F	1223195
1,3	106	7	tp21	87	1255942	F	1255837
1	101	17	t29	 100	1415512	F	1415412
3	189	7	NC044	96	1565515	F	1565327
3	114	10	NC048	94	1636395	R	1636282
2	172	105	IS077	 100	1645147	R	1644975
2,3	172	414	IS078	97	1669213	R	1669041
1	246	6	tp29	54	1903613	F	1903368
1	196	34	te10	 100	1976427	F	1976232
2	119	285	IS094	 100	1995088	F	1994969
3	83	2	NC059	84	2040182	F	2040100
2	119	18	IS109	 100	2190980	F	2190861
2	152	110	IS116	 100	2411418	F	2411266
2,3	130	1871	IS118	 100	2468609	R	2468479
1	103	75	k27	 100	2720746	F	2720644
2	101	32	IS135	80	2759301	F	2759200
3	129	2	NC087	83	2796960	R	2796832
2	169	44	IS141	 100	2876478	R	2876309
2	147	11	IS143	96	2926018	F	2925871
2	260	50	IS149	95	3048955	R	3048695
1	117	96	tpke85	100	3081949	F	3081833
3	70	3	NC093	91	3098919	F	3098850
1	175	66	tpk16	100	3107413	F	3107239
1	152	383	te21	100	3326261	R	3326110
2	210	5	IS166	80	3358963	R	3358753
2	90	211	IS173	100	3517406	R	3517316
2	195	8	IS174	94	3538009	R	3537814
1	197	49	tp46	100	3680184	F	3679988
2	117	3	IS190	62	3904724	R	3904607
1,2	300	184	tpke120	100	3999449	F	3999150
1	182	25	p1	98	4050062	F	4049881
1	347	229	tpk3	100	4056430	F	4056084
1	197	384	p2	100	4404207	R	4404011
2	264	5	IS219	84	4501912	F	4501648
1	497	73	tpke10	100	4532310	F	4531814
