left_end	PRM	sRNA-name	length	MEV	right_end
14081	100	tpke11	89	18.3	14169
16952	100	sokC	55	95.6	17006
75516	100	sroA	93	244.0	75608
77367	96	sgrS	227	177.4	77593
122859	100	tp2	159	2981.2	123017
189712	100	tff	136	1744.4	189847
271804	86	eyeA	75	4.3	271878
457952	100	sraA	57	9.7	458008
475672	100	ffs	114	5689.9	475785
506428	100	sroB	84	74.3	506511
606957	100	sokE	59	41.6	607015
685904	0	sroC	163	0	686066
852175	100	rybA	89	5044.6	852263
887199	100	rybB	79	54	887277
1145812	100	psrD	169	507	1145980
1195937	99	c0293	73	23.3	1196009
1229852	70	c0299	79	1.5	1229930
1268546	100	rdlA	67	38.2	1268612
1269081	100	rdlB	66	76.7	1269146
1269616	100	rdlC	68	200	1269683
1286289	100	rttR	171	204.7	1286459
1403676	100	isrA	158	144.4	1403833
1407153	100	fnrS	122	2659.4	1407274
1407387	100	c0343	75	20.2	1407461
1435145	54	micC	109	1.7	1435253
1489467	100	rydC	64	36.1	1489530
1490143	100	sokB	56	70.9	1490198
1620841	100	mgrR	98	12202.8	1620938
1647406	70	dicF	53	3.1	1647458
1762737	100	rydB	68	197.5	1762804
1768396	100	rprA	106	46.2	1768501
1886041	99	sroD	86	48.2	1886126
1921090	100	ryeA	249	1163.7	1921338
1921188	100	ryeB	121	641	1921308
1985863	100	isrB	160	4909.9	1986022
2023251	91	dsrA	87	19.7	2023337
2031673	40	rseX	91	0.4	2031763
2069339	90	isrC	204	7.1	2069542
2151333	100	sibA	143	194.5	2151475
2151668	100	sibB	136	533.4	2151803
2165138	100	cyaR	87	16.6	2165224
2311106	100	micF	93	15	2311198
2494651	100	tpke70	435	86.6	2495085
2638617	100	sroE	92	131.7	2638708
2651537	98	is128	209	59	2651745
2651877	100	ryfA	304	194	2652180
2689179	100	glmY	184	40053.3	2689362
2698081	99	ryfB	319	424.9	2698399
2698542	58	ohsC	77	1.3	2698618
2732175	100	ryfD	143	15455.8	2732317
2753615	100	ssrA	363	12037.9	2753977
2812824	100	micA	78	219.8	2812901
2885376	91	sokX	56	5.4	2885431
2922178	100	csrB	360	15107.8	2922537
2940718	100	gcvB	206	30569.1	2940923
2974124	100	omrA	88	27.9	2974211
2974326	100	omrB	82	29.7	2974407
3054005	100	ssrS	183	56151	3054187
3054871	100	sibC	140	828.7	3055010
3119380	100	c0719	222	35.1	3119601
3182592	100	sroG	149	1949	3182740
3192745	100	sibD	143	12568.9	3192887
3193121	100	sibE	142	4988.4	3193262
3236396	100	psrNd	188	289.6	3236583
3268238	100	rnpB	377	1799.9	3268614
3309247	100	psrO	174	241.8	3309420
3348599	100	arcZ	121	127.1	3348719
3578950	100	ryhB	90	76537	3579039
3662887	100	gadY	105	1282.9	3662991
3698159	100	rdlD	66	87.9	3698224
3720099	100	sokA	30	20.8	3720128
3851141	93	istR2	140	5.1	3851280
3984455	99	glmZ	172	524.3	3984626
4047922	100	spf	109	21533.5	4048030
4049059	94	csrC	245	9202.3	4049303
4156308	85	oxyS	110	140.6	4156417
4188350	100	sroH	161	6981.2	4188510
4275950	98	ryjA	140	593.6	4276089
4526000	100	ryjB	90	475.3	4526089
4577858	100	symR	77	141.5	4577934
